,(basal) dendrite,dataset,hemisphere_id,structure_id
0,17.067552434269118,17302_072_YJ_LjL_09032018.ano.eswc,1,507
1,27.31035934444211,17302_072_YJ_LjL_09032018.ano.eswc,1,698
2,177.67801483538142,17302_072_YJ_LjL_09032018.ano.eswc,1,969
3,177.67801483538142,17302_072_YJ_LjL_09032018.ano.eswc,1,746
4,11.075191474068026,17302_072_YJ_LjL_09032018.ano.eswc,1,484
5,11.075191474068026,17302_072_YJ_LjL_09032018.ano.eswc,1,731
6,188.75320630944944,17302_072_YJ_LjL_09032018.ano.eswc,1,714
7,188.75320630944944,17302_072_YJ_LjL_09032018.ano.eswc,1,315
8,216.06356565389154,17302_072_YJ_LjL_09032018.ano.eswc,1,695
9,216.06356565389154,17302_072_YJ_LjL_09032018.ano.eswc,1,688
10,216.06356565389154,17302_072_YJ_LjL_09032018.ano.eswc,1,567
11,216.06356565389154,17302_072_YJ_LjL_09032018.ano.eswc,1,8
12,216.06356565389154,17302_072_YJ_LjL_09032018.ano.eswc,1,997
